,open,high,low,close,volume,movement,000001.SS,AAPL,CL=F,GC=F,HG=F,NVDA,^DJI,^GSPC,^N100,^N225
2017-11-17,7853.56982421875,8004.58984375,7561.08984375,7708.990234375,4651670016,1.052792460507379,3382.907958984375,40.0279655456543,56.54999923706055,1295.800048828125,3.0625,5.2232561111450195,23358.240234375,2578.85009765625,1030.010009765625,22396.80078125
2017-11-18,7697.2099609375,7884.990234375,7463.43994140625,7790.14990234375,3667190016,3.1622027190662427,3382.907958984375,40.0279655456543,56.54999923706055,1295.800048828125,3.0625,5.2232561111450195,23358.240234375,2578.85009765625,1030.010009765625,22396.80078125
2017-11-19,7766.02978515625,8101.91015625,7694.10009765625,8036.490234375,3149319936,2.04255103005504,3382.907958984375,40.0279655456543,56.54999923706055,1295.800048828125,3.0625,5.2232561111450195,23358.240234375,2578.85009765625,1030.010009765625,22396.80078125
2017-11-20,8039.06982421875,8336.8603515625,7949.35986328125,8200.6396484375,3488450048,-1.5776803805438666,3392.39892578125,39.98797607421875,56.09000015258789,1274.5999755859375,3.0905001163482666,5.290476322174072,23430.330078125,2582.139892578125,1034.7900390625,22261.759765625
2017-11-21,8205.740234375,8348.66015625,7762.7099609375,8071.259765625,4277609984,2.258507895370454,3410.498046875,40.73136520385742,56.83000183105469,1281.0999755859375,3.125499963760376,5.3391594886779785,23590.830078125,2599.030029296875,1039.06005859375,22416.48046875
2017-11-22,8077.9501953125,8302.259765625,8075.47021484375,8253.5498046875,3633530112,-2.6022716314653915,3430.464111328125,41.159523010253906,58.02000045776367,1291.5999755859375,3.134500026702881,5.31517219543457,23526.1796875,2597.080078125,1035.8299560546875,22523.150390625
2017-11-23,8232.3798828125,8267.400390625,8038.77001953125,8038.77001953125,4225179904,2.6735484363164197,3352.989013671875,41.159523010253906,58.02000045776367,1291.5999755859375,3.134500026702881,5.31517219543457,23526.1796875,2597.080078125,1040.719970703125,22523.150390625
2017-11-24,8074.02001953125,8374.16015625,7940.93017578125,8253.6904296875,5058610176,6.508961012823455,3353.821044921875,41.16188049316406,58.95000076293945,1286.699951171875,3.1659998893737793,5.365372657775879,23557.990234375,2602.419921875,1041.77001953125,22550.849609375
2017-11-25,8241.7099609375,8790.919921875,8191.14990234375,8790.919921875,4342060032,6.138491620992981,3353.821044921875,41.16188049316406,58.95000076293945,1286.699951171875,3.1659998893737793,5.365372657775879,23557.990234375,2602.419921875,1041.77001953125,22550.849609375
2017-11-26,8789.0400390625,9522.9296875,8775.58984375,9330.5498046875,5475579904,5.227985648203037,3353.821044921875,41.16188049316406,58.95000076293945,1286.699951171875,3.1659998893737793,5.365372657775879,23557.990234375,2602.419921875,1041.77001953125,22550.849609375
2017-11-27,9352.7197265625,9818.349609375,9352.7197265625,9818.349609375,5653320192,2.4489879142509663,3322.22998046875,40.954856872558594,58.11000061035156,1293.800048828125,3.132499933242798,5.2956342697143555,23580.779296875,2601.419921875,1036.8399658203125,22495.990234375
2017-11-28,9823.4296875,10125.7001953125,9736.2998046875,10058.7998046875,6348819968,-1.6919459222728528,3333.656982421875,40.71489715576172,57.9900016784668,1294.699951171875,3.070499897003174,5.210811614990234,23836.7109375,2627.0400390625,1043.6099853515625,22486.240234375
2017-11-29,10077.400390625,11517.400390625,9601.0302734375,9888.6103515625,11568799744,3.4887536827456156,3337.862060546875,39.870338439941406,57.29999923706055,1282.0999755859375,3.0399999618530273,4.857422828674316,23940.6796875,2626.070068359375,1043.0899658203125,22597.19921875
2017-11-30,9906.7900390625,10801.0,9202.0498046875,10233.599609375,8310689792,7.250625667631683,3317.18798828125,40.427894592285156,57.400001525878906,1273.199951171875,3.0369999408721924,4.9635138511657715,24272.349609375,2647.580078125,1039.3499755859375,22724.9609375
2017-12-01,10198.599609375,11046.7001953125,9694.650390625,10975.599609375,6783119872,0.9020008338809893,3317.616943359375,40.23969268798828,58.36000061035156,1278.800048828125,3.065500020980835,4.888581275939941,24231.58984375,2642.219970703125,1030.4300537109375,22819.029296875
2017-12-02,10978.2998046875,11320.2001953125,10905.099609375,11074.599609375,5138500096,2.244781705038368,3317.616943359375,40.23969268798828,58.36000061035156,1278.800048828125,3.065500020980835,4.888581275939941,24231.58984375,2642.219970703125,1030.4300537109375,22819.029296875
2017-12-03,11082.7001953125,11858.7001953125,10862.0,11323.2001953125,6608309760,2.949696148075409,3317.616943359375,40.23969268798828,58.36000061035156,1278.800048828125,3.065500020980835,4.888581275939941,24231.58984375,2642.219970703125,1030.4300537109375,22819.029296875
2017-12-04,11315.400390625,11657.2001953125,11081.7998046875,11657.2001953125,6132409856,2.226091991663215,3309.617919921875,39.94561767578125,57.470001220703125,1274.300048828125,3.062999963760376,4.61605978012085,24290.05078125,2639.43994140625,1042.6700439453125,22707.16015625
2017-12-05,11685.7001953125,12032.0,11604.599609375,11916.7001953125,6895260160,19.928333899191664,3303.675048828125,39.907989501953125,57.619998931884766,1261.5999755859375,2.9205000400543213,4.642768859863281,24180.640625,2629.570068359375,1041.8399658203125,22622.380859375
2017-12-06,11923.400390625,14369.099609375,11923.400390625,14291.5,12656300032,25.24716942763181,3293.965087890625,39.75977325439453,55.959999084472656,1262.800048828125,2.936500072479248,4.680358409881592,24140.91015625,2629.27001953125,1040.2099609375,22177.0390625
